x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89633.5032748,43143.4931656,0,0,0,0,0,15.830
89633.9952524,43142.6222781,0,0,0,0,0,14.733
89634.5384258,43141.7907153,0,0,0,0,0,13.645
89635.1320994,43141.0155354,0,0,0,0,0,12.373
89635.8019193,43140.2861656,0,0,0,0,0,11.872
89636.5692700,43139.6015675,0,0,0,0,0,11.997
89637.3939160,43139.0005938,0,0,0,0,0,12.386
89638.2763860,43138.4779639,0,0,0,0,0,11.533
89639.1709793,43138.0709955,0,0,0,0,0,9.733
89640.1863209,43137.7848214,0,0,0,0,0,9.187
89641.2012972,43137.6759417,0,0,0,0,0,11.468
89642.0995428,43137.6691099,0,0,0,0,0,60.000
89643.0962504,43137.7189488,0,0,0,0,0,6.813
89644.0211831,43138.0182030,0,0,0,0,0,7.308
89644.8678249,43138.5702412,0,0,0,0,0,9.280
89645.5981562,43139.2562871,0,0,0,0,0,7.597
89646.1206292,43140.0548802,0,0,0,0,0,6.997
89646.4503289,43141.0382159,0,0,0,0,0,13.735
89646.6450962,43141.9161925,0,0,0,0,0,12.907
89646.7840897,43142.9290479,0,0,0,0,0,11.658
89646.8130512,43144.0040718,0,0,0,0,0,10.514
89646.7165951,43144.9946970,0,0,0,0,0,11.763
89646.5179370,43145.9802783,0,0,0,0,0,12.965
89646.2389302,43146.9398388,0,0,0,0,0,13.968
89645.8844969,43147.8931499,0,0,0,0,0,14.597
89645.4748821,43148.8054480,0,0,0,0,0,15.629
89645.0215380,43149.6789320,0,0,0,0,0,17.316
89644.5218480,43150.5418529,0,0,0,0,0,19.979
89643.9914203,43151.3882572,0,0,0,0,0,24.823
89643.4429634,43152.2209105,0,0,0,0,0,37.483
89642.8852191,43153.0483630,0,0,0,0,0,55.154
89642.3229017,43153.8743382,0,0,0,0,0,60.000
89641.7586848,43154.7000927,0,0,0,0,0,60.000
89641.1958016,43155.5257225,0,0,0,0,0,60.000
89640.6348647,43156.3525876,0,0,0,0,0,60.000
89640.0760069,43157.1814283,0,0,0,0,0,60.000
89639.5203264,43158.0115421,0,0,0,0,0,59.844
89638.9677893,43158.8439746,0,0,0,0,0,55.872
89638.4186024,43159.6794632,0,0,0,0,0,52.614
89637.8740905,43160.5168549,0,0,0,0,0,55.708
89637.3332583,43161.3568360,0,0,0,0,0,60.000
89636.7948935,43162.1995078,0,0,0,0,0,60.000
89636.2590726,43163.0423040,0,0,0,0,0,60.000
89635.7209117,43163.8837624,0,0,0,0,0,37.929
89635.1738649,43164.7210638,0,0,0,0,0,28.927
89634.6139153,43165.5474695,0,0,0,0,0,23.752
89634.0336486,43166.3597688,0,0,0,0,0,20.469
89633.4251683,43167.1540997,0,0,0,0,0,18.294
89632.7889258,43167.9166886,0,0,0,0,0,16.806
89632.1162310,43168.6468519,0,0,0,0,0,15.786
89631.3954036,43169.3462829,0,0,0,0,0,15.104
89630.6219102,43170.0096040,0,0,0,0,0,16.097
89629.8108530,43170.6308707,0,0,0,0,0,18.577
89628.9961716,43171.2031177,0,0,0,0,0,21.253
89628.1749372,43171.7430754,0,0,0,0,0,26.523
89627.3365788,43172.2723563,0,0,0,0,0,60.000
89626.5044771,43172.8012499,0,0,0,0,0,23.223
89625.6922201,43173.3455221,0,0,0,0,0,20.118
89624.8850393,43173.9274005,0,0,0,0,0,18.394
89624.0820376,43174.5592608,0,0,0,0,0,16.444
89623.2967336,43175.2485944,0,0,0,0,0,15.060
89622.5672944,43175.9776313,0,0,0,0,0,13.533
89621.9383758,43176.7118538,0,0,0,0,0,11.392
89621.3590781,43177.5630466,0,0,0,0,0,9.421
89620.9390292,43178.4588710,0,0,0,0,0,8.284
89620.7125096,43179.3669466,0,0,0,0,0,8.106
89620.6645577,43180.3467261,0,0,0,0,0,10.429
89620.7425090,43181.3344996,0,0,0,0,0,12.470
89620.9094986,43182.2925053,0,0,0,0,0,9.877
89621.2380089,43183.2936000,0,0,0,0,0,8.966
89621.6846143,43184.1479016,0,0,0,0,0,10.120
89622.2703953,43184.9711011,0,0,0,0,0,10.656
89622.9619087,43185.7206230,0,0,0,0,0,10.463
89623.7156643,43186.3522309,0,0,0,0,0,10.178
89624.5576738,43186.8851471,0,0,0,0,0,10.224
89625.4896859,43187.3121135,0,0,0,0,0,10.751
89626.4794077,43187.6223268,0,0,0,0,0,11.014
89627.4693050,43187.8055792,0,0,0,0,0,9.866
89628.4516006,43187.8397731,0,0,0,0,0,8.264
89629.4803264,43187.6745094,0,0,0,0,0,10.466
89630.3618311,43187.4219175,0,0,0,0,0,14.428
89631.2563649,43187.1660000,0,0,0,0,0,11.594
89632.2415494,43186.7824161,0,0,0,0,0,10.207
89633.0331644,43186.3573376,0,0,0,0,0,14.762
89633.8884839,43185.8256629,0,0,0,0,0,19.890
89634.7874218,43185.2185614,0,0,0,0,0,25.625
89635.6509683,43184.6074283,0,0,0,0,0,60.000
89636.4908447,43184.0125281,0,0,0,0,0,23.652
89637.2975851,43183.4715989,0,0,0,0,0,14.848
89638.1861324,43182.9563475,0,0,0,0,0,12.558
89639.1029310,43182.5263596,0,0,0,0,0,15.959
89639.9492628,43182.1806005,0,0,0,0,0,50.831
89640.8571729,43181.8333683,0,0,0,0,0,10.646
89641.8436050,43181.5831576,0,0,0,0,0,8.986
89642.7753444,43181.5001447,0,0,0,0,0,10.250
89643.7862642,43181.5437747,0,0,0,0,0,10.717
89644.8235744,43181.7223138,0,0,0,0,0,10.781
89645.7706119,43182.0047182,0,0,0,0,0,12.476
89646.7043524,43182.3776514,0,0,0,0,0,14.495
89647.6147707,43182.8146827,0,0,0,0,0,17.106
89648.5082377,43183.2973057,0,0,0,0,0,23.992
89649.3752353,43183.7933888,0,0,0,0,0,60.000
89650.2272535,43184.2796843,0,0,0,0,0,22.617
89651.0975487,43184.7487106,0,0,0,0,0,20.002
89651.9869283,43185.1892984,0,0,0,0,0,18.984
89652.9122928,43185.6040187,0,0,0,0,0,18.338
89653.8413479,43185.9719941,0,0,0,0,0,14.855
89654.8014685,43186.2824666,0,0,0,0,0,12.320
89655.7738536,43186.4991481,0,0,0,0,0,10.331
89656.8790981,43186.6027708,0,0,0,0,0,11.762
89657.8665422,43186.5883308,0,0,0,0,0,12.796
89658.8247684,43186.4899352,0,0,0,0,0,8.422
89659.7154309,43186.2166789,0,0,0,0,0,7.130
89660.4711811,43185.7466637,0,0,0,0,0,7.522
89661.2292040,43184.9684713,0,0,0,0,0,7.711
89661.7533308,43184.0890531,0,0,0,0,0,9.514
89662.1225443,43183.1353157,0,0,0,0,0,8.506
89662.2793203,43182.1108913,0,0,0,0,0,6.617
89662.1528860,43181.1680855,0,0,0,0,0,19.168
89661.9482869,43180.3158707,0,0,0,0,0,6.594
89661.4653534,43179.3900751,0,0,0,0,0,8.540
89660.8922266,43178.6936821,0,0,0,0,0,10.974
89660.1328189,43177.9646733,0,0,0,0,0,11.395
89659.2618755,43177.3067889,0,0,0,0,0,11.140
89658.3746878,43176.7875938,0,0,0,0,0,12.255
89657.4635836,43176.3656179,0,0,0,0,0,12.865
89656.5553625,43176.0347053,0,0,0,0,0,13.114
89655.5611342,43175.7525238,0,0,0,0,0,38.267
89654.6230999,43175.4948734,0,0,0,0,0,12.494
89653.7321084,43175.1697864,0,0,0,0,0,11.100
89652.8632671,43174.7442985,0,0,0,0,0,14.543
89651.9667261,43174.2288975,0,0,0,0,0,22.324
89651.1116618,43173.7008483,0,0,0,0,0,24.124
89650.2753779,43173.1558109,0,0,0,0,0,20.273
89649.4441153,43172.5721550,0,0,0,0,0,17.332
89648.6146967,43171.9272647,0,0,0,0,0,14.858
89647.8220085,43171.2187959,0,0,0,0,0,12.114
89647.1699024,43170.5082473,0,0,0,0,0,9.086
89646.6443777,43169.6885883,0,0,0,0,0,7.280
89646.3259172,43168.7594889,0,0,0,0,0,10.402
89646.1341126,43167.8460507,0,0,0,0,0,13.482
89646.0169658,43166.8886980,0,0,0,0,0,7.699
89646.1200813,43165.8645072,0,0,0,0,0,8.215
89646.4080395,43164.9569211,0,0,0,0,0,10.273
89646.8515712,43164.0206954,0,0,0,0,0,11.225
89647.4055352,43163.1377831,0,0,0,0,0,11.119
89648.0291335,43162.3586569,0,0,0,0,0,11.416
89648.7305425,43161.6521574,0,0,0,0,0,11.962
89649.4970344,43161.0173693,0,0,0,0,0,12.303
89650.3098965,43160.4631695,0,0,0,0,0,11.524
89651.1896636,43159.9894469,0,0,0,0,0,10.968
89652.1341133,43159.6155760,0,0,0,0,0,10.710
89653.0673585,43159.3690537,0,0,0,0,0,11.235
89654.0506900,43159.2210320,0,0,0,0,0,11.705
89655.0728571,43159.1738352,0,0,0,0,0,12.097
89656.1279106,43159.2300345,0,0,0,0,0,12.577
89657.1709603,43159.3858495,0,0,0,0,0,12.048
89658.1324691,43159.6303709,0,0,0,0,0,10.251
89659.0179682,43159.9883662,0,0,0,0,0,8.029
89659.9142524,43160.5911516,0,0,0,0,0,9.468
89660.5654818,43161.1790200,0,0,0,0,0,9.851
89661.2668261,43161.7764314,0,0,0,0,0,8.206
89661.9342841,43162.5684311,0,0,0,0,0,8.979
89662.3902709,43163.3465639,0,0,0,0,0,19.500
89662.8823593,43164.2656529,0,0,0,0,0,26.537
89663.4260034,43165.2304612,0,0,0,0,0,15.738
89664.0323999,43166.1817125,0,0,0,0,0,21.638
89664.5930346,43167.0019009,0,0,0,0,0,51.439
89665.0892539,43167.7432610,0,0,0,0,0,19.904
89665.6794771,43168.4285015,0,0,0,0,0,6.183
89666.4952164,43168.9325124,0,0,0,0,0,12.295
89667.4451813,43169.3860522,0,0,0,0,0,12.259
89668.4221917,43169.7321218,0,0,0,0,0,8.289
89669.4742702,43169.8836559,0,0,0,0,0,8.503
89670.4132016,43169.8535105,0,0,0,0,0,16.000
89671.3074422,43169.8273288,0,0,0,0,0,12.465
89672.2979610,43169.7197806,0,0,0,0,0,8.494
89673.3137735,43169.4077523,0,0,0,0,0,9.604
89674.1945943,43168.9739649,0,0,0,0,0,12.242
89675.0761068,43168.4278801,0,0,0,0,0,13.630
89675.8933312,43167.8270599,0,0,0,0,0,13.050
89676.6900516,43167.1256114,0,0,0,0,0,11.329
89677.3522581,43166.3993404,0,0,0,0,0,10.867
89677.9105100,43165.6287274,0,0,0,0,0,11.834
89678.3883096,43164.8095685,0,0,0,0,0,11.779
89678.8016876,43163.9098677,0,0,0,0,0,11.981
89679.1434920,43162.9174763,0,0,0,0,0,12.524
89679.3843854,43161.9386154,0,0,0,0,0,13.806
89679.5526585,43160.9313629,0,0,0,0,0,13.976
89679.6442848,43159.9387217,0,0,0,0,0,12.866
89679.6493579,43158.8963952,0,0,0,0,0,12.481
89679.5612343,43157.8712917,0,0,0,0,0,15.718
89679.4317894,43156.9525447,0,0,0,0,0,46.545
89679.2896591,43155.9844853,0,0,0,0,0,17.198
89679.1025075,43155.0213256,0,0,0,0,0,10.771
89678.8128556,43154.0949256,0,0,0,0,0,10.698
89678.4077392,43153.1971108,0,0,0,0,0,10.691
89677.8625901,43152.3066752,0,0,0,0,0,10.174
89677.2326988,43151.5351436,0,0,0,0,0,10.473
89676.5068695,43150.8479136,0,0,0,0,0,10.727
89675.6938943,43150.2486462,0,0,0,0,0,10.697
89674.7977191,43149.7439294,0,0,0,0,0,11.500
89673.8673895,43149.3462587,0,0,0,0,0,12.114
89672.9497649,43149.0535979,0,0,0,0,0,12.063
89671.9284437,43148.8283816,0,0,0,0,0,15.401
89670.9626841,43148.6735232,0,0,0,0,0,36.513
89670.0377614,43148.5171052,0,0,0,0,0,19.217
89669.0939680,43148.3256582,0,0,0,0,0,60.000
89668.0586486,43148.1135251,0,0,0,0,0,27.973
89667.1407566,43147.9384726,0,0,0,0,0,57.997
89666.1452352,43147.7529786,0,0,0,0,0,55.895
89665.1102944,43147.5551767,0,0,0,0,0,33.974
89664.0866058,43147.3438200,0,0,0,0,0,19.889
89663.0978133,43147.1012648,0,0,0,0,0,14.379
89662.1765462,43146.8075714,0,0,0,0,0,10.962
89661.2329204,43146.3810352,0,0,0,0,0,10.225
89660.3765732,43145.8440534,0,0,0,0,0,11.088
89659.6510735,43145.2695939,0,0,0,0,0,12.746
89658.9456420,43144.5898161,0,0,0,0,0,9.716
89658.3267667,43143.7998590,0,0,0,0,0,10.501
89657.8405899,43142.9888644,0,0,0,0,0,11.845
89657.4104357,43142.0770670,0,0,0,0,0,11.916
89657.0610834,43141.0825683,0,0,0,0,0,11.346
89656.8334039,43140.1214696,0,0,0,0,0,13.049
89656.6831268,43139.1312809,0,0,0,0,0,15.414
89656.5912347,43138.1260265,0,0,0,0,0,19.040
89656.5400749,43137.1273605,0,0,0,0,0,23.237
89656.5148293,43136.1282373,0,0,0,0,0,32.562
89656.5027766,43135.1297233,0,0,0,0,0,60.000
89656.4912036,43134.1224646,0,0,0,0,0,35.042
89656.4681897,43133.1210141,0,0,0,0,0,24.260
89656.4219096,43132.1313888,0,0,0,0,0,19.376
89656.3358833,43131.1106507,0,0,0,0,0,16.846
89656.2013599,43130.1156310,0,0,0,0,0,14.697
89656.0105557,43129.1674233,0,0,0,0,0,12.758
